ID,Av. Speed (mm/s),Mob. Av. Speed (mm/s),Av. Accel (mm/s^2),Mobility Rate (%),Visible Frames,Visible Time (m:s),Invisible Frames,Invisible Time (m:s),First Visible Frame,Last Visible Frame,Visibility Rate (%),Invisibility Rate (%),Explored Areas,Number of Areas,Exploration Rate (%),Total Distance (mm),Transitions In,Transitions Out,Frozen Events,Tot. Time Frozen (m:s),Avg. Time Frozen (m:s),Time In Center (m:s),
LP1C01,1.6,13.18,1.47,0.10,8960,19:55,40,00:05.3,10050,19049,1.00,0.00,13,24,0.54,2227.9,0,0,9,17:57,02:00,00:01,*time in center is sum of all times tadpole was in a grid not bordered by the wall of the arena
LP1D01,31.88,35.52,31.39,0.90,9000,20:00,0,00:00.0,9525,18524,1.00,0.00,16,24,0.67,39264.2,0,0,18,01:26,00:05,00:00,
LP2D01,14.45,32.93,15.49,0.43,9001,20:00,0,00:00.0,9000,18000,1.00,0.00,19,24,0.79,18058.6,0,0,21,11:55,00:34,00:02,
LP3C01,12.06,37.9,14.5,0.31,9000,20:00,0,00:00.0,10575,19574,1.00,0.00,23,24,0.96,15356.3,0,0,30,13:23,00:27,00:04,
LP3D01,44.55,50.92,46.25,0.87,9000,20:00,0,00:00.0,10260,19259,1.00,0.00,18,24,0.75,54843.2,0,0,13,02:10,00:10,00:02,
LP4C01,44.07,46.34,45.79,0.95,8975,19:57,25,00:03.3,9900,18899,1.00,0.00,16,24,0.67,54082,0,0,8,00:30,00:04,00:00,
LP4D01,26.63,43.94,31.71,0.60,9001,20:00,0,00:00.0,9525,18525,1.00,0.00,22,24,0.92,33075.5,0,0,26,07:26,00:17,00:05,
LP5C01,4.31,29.69,5.69,0.14,9000,20:00,0,00:00.0,10575,19574,1.00,0.00,17,24,0.71,5663.6,0,0,10,17:22,01:44,04:29,
LP5D01,24.8,32.98,22.02,0.75,9000,20:00,0,00:00.0,10238,19237,1.00,0.00,21,24,0.88,30638.2,0,0,24,03:58,00:10,01:02,
LP6C01,2.92,17.84,3.08,0.15,9001,20:00,0,00:00.0,9975,18975,1.00,0.00,23,24,0.96,3780.5,0,0,15,17:18,01:09,02:50,
LP6D01,0.69,11.54,0.65,0.05,9000,20:00,0,00:00.0,9638,18637,1.00,0.00,6,28,0.21,954.3,0,0,5,18:50,03:46,00:00,
LP7C01,42.92,63.21,46.78,0.68,9000,20:00,0,00:00.0,10575,19574,1.00,0.00,10,28,0.36,52772.5,0,0,27,06:14,00:14,00:00,
LP7D01,0.72,3.07,1.03,0.14,9000,20:00,0,00:00.0,10313,19312,1.00,0.00,1,28,0.04,1352.9,0,0,43,15:02,00:21,00:00,
LP8C01,26.03,33.47,22.14,0.78,9000,20:00,0,00:00.0,10013,19012,1.00,0.00,20,24,0.83,32134.7,0,0,27,04:25,00:10,00:04,
LP8D01,1.63,6.71,1.62,0.21,9000,20:00,0,00:00.0,10013,19012,1.00,0.00,11,24,0.46,2143.4,0,0,33,16:22,00:30,12:53,
LP9C01,8.63,40.18,11.56,0.21,9000,20:00,0,00:00.0,10125,19124,1.00,0.00,19,28,0.68,10861.1,0,0,25,16:44,00:40,00:02,
LP9D01,5.7,14.62,3.92,0.37,9000,20:00,0,00:00.0,9825,18824,1.00,0.00,19,24,0.79,7355.6,0,0,34,11:56,00:21,00:49,
LP10C01,3.24,12.54,3.08,0.24,9000,20:00,0,00:00.0,9525,18524,1.00,0.00,16,24,0.67,4310.2,0,0,28,15:00,00:32,00:08,
LP10D01,1.26,16.76,1.09,0.06,9000,20:00,0,00:00.0,9263,18262,1.00,0.00,13,24,0.54,1850.2,0,0,12,19:20,01:37,00:04,
LP11C01,10.35,22.31,11.79,0.46,9000,20:00,0,00:00.0,9525,18524,1.00,0.00,11,24,0.46,12905.1,0,0,22,11:15,00:31,00:00,
LP12C01,19.11,35.62,17.81,0.53,8999,20:00,0,00:00.0,9225,18223,1.00,0.00,24,24,1.00,23684.3,0,0,23,08:56,00:23,00:37,
LP12D01,12.62,24.37,14.7,0.51,9001,20:00,0,00:00.0,9075,18075,1.00,0.00,24,24,1.00,16272.1,0,0,40,09:23,00:14,01:04,
